Index,Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Operational_Cost,Customer_Age,is_outlier
44,2/1/2022,2125,56,Cargo pants,IPVE6,1.0,45.0,28.2,28,False
45,2/1/2022,2562,57,Skirt,549KK,1.0,55.9,41.1,65,False
46,2/1/2022,473,58,Trench coat,AODV3,2.0,87.3,23.7,42,False
47,2/1/2022,9113,59,T-shirt,0AEJH,1.0,18.9,13.0,32,False
48,2/1/2022,3708,61,Shoes,A4R06,1.0,105.7,66.1,33,False
49,2/1/2022,3992,64,T-shirt,14V9T,1.0,34.1,21.7,49,False
50,2/1/2022,3992,64,T-shirt,COWU2,1.0,44.3,29.8,49,False
51,2/1/2022,7488,65,T-shirt,ZRKHN,1.0,42.3,28.8,45,False
52,2/1/2022,7488,65,T-shirt,UNJKW,1.0,21.1,14.7,45,False
53,2/1/2022,4604,66,Jeans,FV49E,1.0,70.2,46.4,42,False
54,2/1/2022,4604,66,Skirt,1XG54,1.0,67.5,47.2,42,False
55,2/1/2022,9108,67,Skirt,9STQJ,1.0,82.5,58.7,58,False
56,2/1/2022,4783,68,Jeans,K38PQ,1.0,96.2,56.9,56,False
57,2/1/2022,4783,68,Jeans,NJRVO,1.0,81.8,47.5,56,False
58,2/1/2022,5373,70,Trench coat,RNDL2,1.0,37.0,23.1,44,False
59,2/1/2022,1765,71,Jeans,J2RPB,1.0,34.1,20.1,30,False
60,2/1/2022,4122,76,Blazer,LPLTZ,1.0,39.0,24.3,36,False
61,2/1/2022,4122,76,T-shirt,TL4WZ,1.0,40.0,27.2,36,False
62,2/1/2022,4122,76,Sunglasses,MM77N,2.0,53.7,22.6,36,False
63,2/1/2022,4122,76,Dress shirt,NOKHJ,2.0,222.6,86.9,36,False
64,2/1/2022,4122,76,Dresses,9F8O1,2.0,123.6,43.0,36,False
65,2/1/2022,4122,76,Hat,NZQS5,2.0,122.7,51.5,36,False
66,2/1/2022,4122,76,Dresses,GYQNP,2.0,144.0,55.4,36,False
67,2/1/2022,981,77,T-shirt,H87RV,1.0,60.0,37.2,21,False
68,2/1/2022,9628,78,Jeans,E3PAN,1.0,83.2,51.7,29,False
69,2/1/2022,8048,79,Skirt,549KK,1.0,55.9,41.1,34,False
70,2/1/2022,8048,79,T-shirt,TU0A5,1.0,35.4,23.0,34,False
71,2/1/2022,6891,81,Hoodie,280WP,1.0,196.3,135.6,47,False
72,2/1/2022,3588,83,Skirt,RUNZF,2.0,157.5,54.0,25,False
73,2/1/2022,178,84,Hoodie,HO1M5,1.0,249.3,169.3,57,False
74,2/1/2022,178,84,Crop Top,699MN,1.0,340.6,271.8,57,False
75,2/1/2022,5721,85,Cargo pants,OV1P9,1.0,57.3,39.1,29,False
76,2/1/2022,1725,86,Hoodie,XQBTK,1.0,15.3,10.2,53,False
77,2/1/2022,8541,87,T-shirt,YY5BX,1.0,45.7,30.4,57,False
78,2/1/2022,6994,88,Crop Top,11H2S,1.0,190.0,146.9,39,False
79,2/1/2022,3,90,Dresses,Y1M2E,2.0,81.6,31.3,52,False
80,2/1/2022,427,91,Hoodie,DLFQW,1.0,41.9,27.5,25,False
81,2/1/2022,427,91,Hoodie,F90L2,1.0,23.1,16.9,25,False
82,2/1/2022,427,91,Crop Top,LKDTY,1.0,86.9,72.7,25,False
83,2/1/2022,3235,92,Hoodie,DUWYY,1.0,41.9,27.9,24,False
84,2/1/2022,957,94,Skirt,MQPSJ,1.0,41.9,31.9,52,False
85,2/1/2022,7408,95,Crop Top,7BGJ9,1.0,175.0,136.3,28,False
86,2/1/2022,6523,96,T-shirt,UQC6F,1.0,17.7,11.6,60,False
87,2/1/2022,6523,96,T-shirt,UNJKW,1.0,21.1,14.7,60,False
88,2/1/2022,4803,97,Cargo pants,IPVE6,1.0,45.0,28.2,43,False
89,2/1/2022,4803,97,Blazer,PO1N6,1.0,74.4,45.6,43,False
90,2/1/2022,2826,98,Skirt,ABFD7,1.0,48.4,37.8,44,False
91,2/1/2022,2826,98,Skirt,O1X0L,1.0,60.7,45.2,44,False
92,2/1/2022,3131,100,Crop Top,MRE4J,1.0,33.4,28.1,56,False
93,2/1/2022,5948,102,Crop Top,967JZ,1.0,105.6,90.0,41,False
94,2/1/2022,2826,103,Skirt,O1X0L,1.0,60.7,45.2,44,False
95,2/1/2022,6848,104,Shoes,81AIS,1.0,82.5,57.8,32,False
96,2/1/2022,6848,104,T-shirt,ZDSYK,1.0,17.1,12.3,32,False
97,2/1/2022,6848,104,Hoodie,DUV2Y,1.0,78.1,50.5,32,False
98,2/1/2022,1585,105,Cargo pants,IPVE6,1.0,45.0,28.2,46,False
99,2/1/2022,1585,105,Skirt,LGDUB,1.0,51.2,35.0,46,False
100,2/1/2022,1585,105,Cargo pants,1MR3E,1.0,94.0,69.7,46,False
101,2/1/2022,1585,105,Skirt,1LGSE,1.0,42.3,32.3,46,False
102,2/1/2022,1585,105,Skirt,51OBI,1.0,67.5,48.8,46,False
103,2/1/2022,1585,105,Skirt,LQ555,1.0,75.7,55.9,46,False
104,2/1/2022,1585,105,Blazer,RBNO8,1.0,100.2,70.1,46,False
105,2/1/2022,1585,105,T-shirt,89ULV,1.0,47.1,32.6,46,False
106,2/1/2022,1908,106,Hoodie,VWUC7,1.0,31.2,20.3,20,False
107,2/1/2022,5204,108,Jeans,E3PAN,1.0,83.2,51.7,40,False
108,2/1/2022,5204,108,T-shirt,COWU2,1.0,44.3,29.8,40,False
109,2/1/2022,2826,109,Jeans,E3PAN,1.0,83.2,51.7,44,False
110,2/1/2022,3764,112,Blazer,LPLTZ,1.0,39.0,24.3,26,False
111,2/1/2022,3764,112,Hoodie,KV45X,1.0,20.6,14.0,26,False
112,2/1/2022,4839,114,Crop Top,MRE4J,1.0,33.4,28.1,37,False
113,2/1/2022,3011,115,Cargo pants,OV1P9,1.0,57.3,39.1,38,False
114,2/1/2022,3011,115,T-shirt,3220G,1.0,14.2,9.9,38,False
115,2/1/2022,3011,115,Skirt,EEQQ0,1.0,67.5,49.4,38,False
116,2/1/2022,8288,117,Hoodie,WKOLQ,1.0,16.8,12.1,27,False
117,2/1/2022,5170,118,Jeans,TZ8LC,1.0,62.7,42.1,32,False
118,2/1/2022,2617,123,T-shirt,3220G,1.0,14.2,9.9,30,False
119,2/1/2022,2617,123,Jeans,L9X5Q,1.0,30.0,17.7,30,False
120,2/1/2022,2617,123,Jeans,BK9BM,1.0,48.1,32.5,30,False
121,2/1/2022,8814,125,Cargo pants,IPVE6,1.0,45.0,28.2,47,False
122,2/1/2022,6901,126,Shoes,JJ9FT,1.0,57.9,38.8,24,False
123,2/1/2022,6901,126,Cargo pants,OV1P9,1.0,57.3,39.1,24,False
124,2/1/2022,454,127,Skirt,O1X0L,1.0,60.7,45.2,23,False
125,2/1/2022,5293,129,T-shirt,4A2M0,1.0,70.2,47.8,35,False
126,2/1/2022,6045,133,Trench coat,53UL8,1.0,19.7,12.1,48,False
127,2/1/2022,399,136,Jeans,XJLWY,1.0,48.1,29.4,21,False
128,2/1/2022,399,136,Cargo pants,6RXA9,1.0,56.2,37.3,21,False
129,2/1/2022,1891,138,Cargo pants,OV1P9,1.0,57.3,39.1,58,False
130,3/1/2022,3530,143,Cargo pants,OV1P9,1.0,57.3,39.1,49,False
131,3/1/2022,3530,143,Skirt,6OUVC,1.0,105.0,74.2,49,False
132,3/1/2022,692,144,Skirt,2AJB5,1.0,83.8,64.8,38,False
133,3/1/2022,692,144,Cargo pants,GKJEP,1.0,35.4,23.6,38,False
134,3/1/2022,692,145,Jeans,E3PAN,1.0,83.2,51.7,38,False
135,3/1/2022,6806,148,T-shirt,UNJKW,2.0,42.3,14.7,57,False
136,3/1/2022,6806,148,T-shirt,EMJ1S,1.0,36.2,24.9,57,False
137,3/1/2022,4993,149,Hoodie,7EBAG,1.0,65.0,47.4,31,False
138,3/1/2022,4775,151,Skirt,O1X0L,1.0,60.7,45.2,62,False
139,3/1/2022,6727,152,Cargo pants,IPVE6,1.0,45.0,28.2,49,False
140,3/1/2022,2422,154,Jeans,Z2AX9,1.0,88.7,58.3,26,False
141,3/1/2022,2422,154,Hoodie,DUWYY,1.0,41.9,27.9,26,False
142,3/1/2022,8553,155,Cargo pants,0BXVJ,1.0,75.0,50.2,43,False
143,3/1/2022,8553,155,Hoodie,XQBTK,1.0,23.7,15.8,43,False
144,3/1/2022,8907,157,Crop Top,S7QET,1.0,26.8,20.5,48,False
145,3/1/2022,1284,158,Jeans,J2RPB,1.0,34.1,20.1,56,False
146,3/1/2022,9251,162,Skirt,Q4ZAD,2.0,159.6,56.3,32,False
147,3/1/2022,9251,162,Cargo pants,OV1P9,2.0,114.6,39.1,32,False
148,3/1/2022,9251,162,Jeans,15PXV,1.0,77.1,47.0,32,False
149,3/1/2022,1894,168,Crop Top,967JZ,1.0,105.6,90.0,47,False
150,3/1/2022,8308,169,Shoes,WG7HI,1.0,51.8,31.2,25,False
151,3/1/2022,8308,169,T-shirt,UNJKW,1.0,21.1,14.7,25,False
152,3/1/2022,3695,170,Shoes,T4T9J,1.0,95.0,62.9,31,False
153,3/1/2022,3848,171,Cargo pants,1MR3E,1.0,94.0,69.7,30,False
154,3/1/2022,7077,172,Cargo pants,7YOPV,1.0,56.6,40.5,26,False
155,3/1/2022,7077,172,T-shirt,UNJKW,1.0,21.1,14.7,26,False
156,3/1/2022,6422,173,Hoodie,B4KFE,1.0,55.6,35.5,33,False
157,3/1/2022,4046,174,Hoodie,75L4V,1.0,27.3,17.8,58,False
158,3/1/2022,3913,176,Cargo pants,DMJ70,1.0,57.3,42.5,30,False
159,3/1/2022,3226,177,Blazer,A59HR,1.0,31.2,21.9,57,False
160,3/1/2022,3226,177,Hoodie,VWUC7,1.0,31.2,20.3,57,False
161,3/1/2022,2057,178,Shoes,H8LCU,1.0,51.2,33.0,25,False
162,3/1/2022,1906,179,Skirt,LGDUB,1.0,51.2,35.0,28,False
163,3/1/2022,1906,179,Jeans,XJLWY,1.0,48.1,29.4,28,False
164,3/1/2022,100,181,Shoes,3QNEE,1.0,83.2,54.2,56,False
165,3/1/2022,6918,182,Skirt,CZUZX,1.0,63.5,44.6,42,False
166,3/1/2022,6918,182,Jeans,D9QKE,1.0,88.7,51.2,42,False
167,3/1/2022,6918,182,Jeans,XJLWY,1.0,48.1,29.4,42,False
168,3/1/2022,7002,183,Cargo pants,OV1P9,1.0,57.3,39.1,27,False
169,3/1/2022,7002,183,Hoodie,DLFQW,3.0,83.7,18.3,27,False
170,3/1/2022,4289,185,Skirt,O1X0L,1.0,60.7,45.2,31,False
171,3/1/2022,5738,186,Skirt,1XG54,1.0,67.5,47.2,24,False
172,3/1/2022,8218,187,Hoodie,VLPE5,1.0,81.8,58.2,45,False
173,3/1/2022,3065,188,Skirt,LQ555,1.0,75.7,55.9,36,False
174,3/1/2022,275,191,T-shirt,FZ402,1.0,54.6,39.2,27,False
175,3/1/2022,2649,193,T-shirt,TU0A5,1.0,35.4,23.0,56,False
176,3/1/2022,2649,193,Cargo pants,0JD0P,1.0,83.8,57.2,56,False
177,3/1/2022,841,194,Cargo pants,W22UD,2.0,117.3,39.6,24,False
178,3/1/2022,3317,195,Cargo pants,OV1P9,1.0,57.3,39.1,38,False
179,3/1/2022,6045,198,Jeans,BKO3J,1.0,81.2,51.5,48,False
180,3/1/2022,1862,201,T-shirt,UNJKW,1.0,21.1,14.7,19,False
181,3/1/2022,2132,202,Skirt,1XG54,1.0,67.5,47.2,52,False
182,3/1/2022,6325,204,Jeans,E3PAN,1.0,83.2,51.7,43,False
183,3/1/2022,7945,205,Shoes,GQH4S,1.0,105.7,71.5,27,False
184,3/1/2022,6587,206,Jeans,TZ8LC,1.0,62.7,42.1,64,False
185,3/1/2022,1660,207,Hoodie,DLFQW,1.0,41.9,27.5,61,False
186,3/1/2022,1134,208,T-shirt,M6J9W,1.0,74.3,52.4,32,False
187,4/1/2022,8858,212,Dresses,BDD5Z,1.0,81.0,56.6,35,False
188,4/1/2022,8858,212,Sunglasses,MM77N,1.0,26.8,22.6,35,False
189,4/1/2022,8858,212,Hat,VGGTR,2.0,76.2,28.4,35,False
190,4/1/2022,8858,212,Bomber jacket,I1JEE,1.0,82.9,58.9,35,False
191,4/1/2022,8858,212,T-shirt,M6J9W,1.0,74.3,52.4,35,False
192,4/1/2022,5475,214,Dress shirt,SJ0ZD,2.0,24.7,10.5,26,False
193,4/1/2022,5475,214,Dresses,KE0PX,2.0,257.7,92.9,26,False
194,4/1/2022,5475,214,Hat,L6Q95,2.0,46.6,18.7,26,False
195,4/1/2022,5475,215,Dress shirt,SJ0ZD,2.0,24.7,10.5,26,False
196,4/1/2022,1863,218,T-shirt,X05XH,1.0,59.7,38.1,54,False
197,4/1/2022,1863,218,Trench coat,AYAJU,1.0,40.0,24.3,54,False
198,4/1/2022,1863,218,Shorts,4X8P4,1.0,51.9,39.2,54,False
199,4/1/2022,1863,218,Shorts,UHKW8,1.0,17.2,12.8,54,False
200,4/1/2022,1863,218,Dress shirt,TUV75,3.0,108.5,28.0,54,False
201,4/1/2022,9583,220,Skirt,CZUZX,1.0,63.5,44.6,53,False
202,4/1/2022,8636,222,Shoes,AOM3I,1.0,77.1,53.6,27,False
203,4/1/2022,3543,223,T-shirt,85WDI,1.0,17.1,11.0,41,False
204,4/1/2022,6192,225,Shoes,PN14V,1.0,94.0,61.6,50,False
205,4/1/2022,6192,225,Crop Top,MWOXV,1.0,101.2,77.1,50,False
206,4/1/2022,2477,228,Shorts,WNBBE,1.0,19.0,15.8,33,False
207,4/1/2022,2477,228,Shorts,HWISP,1.0,51.2,41.3,33,False
208,4/1/2022,6723,230,Dresses,BDD5Z,2.0,162.0,56.6,55,False
209,4/1/2022,6723,230,Dress shirt,VIXSK,1.0,33.0,26.0,55,False
210,4/1/2022,6723,230,Sunglasses,69PF4,1.0,67.5,56.5,55,False
211,4/1/2022,2822,231,Shoes,JJ9FT,1.0,57.9,38.8,57,False
212,4/1/2022,4815,232,Hat,KRX6I,3.0,52.8,13.4,48,False
213,4/1/2022,4815,232,Dresses,MHPLR,2.0,314.1,117.2,48,False
214,4/1/2022,3344,233,T-shirt,9J5RX,1.0,81.8,57.5,47,False
215,4/1/2022,3344,233,Cargo pants,DMJ70,1.0,57.3,42.5,47,False
216,4/1/2022,6843,234,Skirt,LQ555,1.0,75.7,55.9,47,False
217,4/1/2022,8008,236,Shoes,81AIS,1.0,82.5,57.8,45,False
218,4/1/2022,8008,236,T-shirt,EMJ1S,1.0,36.2,24.9,45,False
219,4/1/2022,424,237,T-shirt,14V9T,1.0,34.1,21.7,55,False
220,4/1/2022,6324,238,Skirt,O1X0L,1.0,60.7,45.2,30,False
221,4/1/2022,8635,239,Trench coat,E3WCF,1.0,104.4,61.7,31,False
222,4/1/2022,8035,240,Hoodie,TA0AW,1.0,249.3,175.5,49,False
223,4/1/2022,4124,241,T-shirt,85WDI,1.0,17.1,11.0,58,False
224,4/1/2022,176,242,Crop Top,S7QET,1.0,26.8,20.5,43,False
225,4/1/2022,5984,243,Shoes,4DJ5Q,1.0,67.5,45.5,29,False
226,4/1/2022,274,244,T-shirt,X05XH,1.0,59.7,38.1,54,False
227,4/1/2022,274,244,Shorts,F7FQ5,2.0,48.6,19.2,54,False
228,4/1/2022,8780,245,Shorts,WJSXR,1.0,42.1,35.9,28,False
229,4/1/2022,8780,245,Bomber jacket,09LL9,2.0,55.0,16.6,28,False
230,4/1/2022,1685,246,Cargo pants,OV1P9,1.0,57.3,39.1,29,False
231,4/1/2022,1685,246,Skirt,2AJB5,1.0,61.2,47.3,29,False
232,4/1/2022,1685,246,T-shirt,M6J9W,1.0,58.0,40.9,29,False
233,4/1/2022,1685,246,T-shirt,UNJKW,1.0,16.2,11.3,29,False
234,4/1/2022,1685,246,Hoodie,VWUC7,2.0,39.4,12.8,29,False
235,4/1/2022,7946,248,Hoodie,F90L2,1.0,23.1,16.9,37,False
236,4/1/2022,1531,249,Skirt,2AJB5,1.0,83.8,64.8,31,False
237,4/1/2022,1531,249,Cargo pants,JCYBN,1.0,53.8,35.9,31,False
238,4/1/2022,3290,250,Shoes,TMW2A,1.0,117.5,77.4,61,False
239,4/1/2022,2811,251,T-shirt,85WDI,2.0,34.1,11.0,47,False
240,4/1/2022,7880,252,Cargo pants,W22UD,1.0,58.7,39.6,43,False
241,4/1/2022,7880,252,Jeans,2JVLK,2.0,154.2,51.1,43,False
242,4/1/2022,4323,253,T-shirt,H87RV,1.0,60.0,37.2,39,False
243,4/1/2022,60,254,Blazer,A59HR,3.0,62.4,14.6,46,False
244,4/1/2022,6670,255,Dress shirt,6TXTJ,2.0,25.9,10.5,33,False
245,4/1/2022,6670,255,Hat,PM13G,2.0,214.6,81.7,33,False
246,4/1/2022,3036,257,Cargo pants,JCYBN,1.0,53.8,35.9,36,False
247,4/1/2022,5241,259,Shorts,F7FQ5,2.0,48.6,19.2,56,False
248,4/1/2022,5241,259,Bomber jacket,IST2P,1.0,138.8,88.6,56,False
249,4/1/2022,5241,259,Shorts,VZELE,4.0,133.7,27.1,56,False
250,4/1/2022,2237,261,Hat,MX6BF,2.0,110.2,40.8,51,False
251,4/1/2022,2237,261,Skirt,SIZ9T,1.0,57.3,44.4,51,False
252,4/1/2022,2237,261,Dress shirt,VHWMQ,2.0,44.4,17.2,51,False
253,4/1/2022,477,262,Crop Top,3W011,1.0,340.6,277.9,46,False
254,4/1/2022,3206,265,Trench coat,ZE55T,1.0,213.4,124.4,34,False
255,4/1/2022,3206,268,T-shirt,0AEJH,1.0,18.9,13.0,34,False
256,4/1/2022,3206,268,T-shirt,TL4WZ,1.0,40.0,27.2,34,False
257,4/1/2022,3206,268,Dress shirt,6DCYD,1.0,73.2,60.2,34,False
258,4/1/2022,3206,268,Hat,KRX6I,1.0,17.5,13.3,34,False
259,4/1/2022,3206,268,Shorts,67D07,2.0,67.4,26.6,34,False
260,4/1/2022,3206,268,Dresses,J8DD7,2.0,76.7,25.5,34,False
261,4/1/2022,3206,268,Dresses,PQUFN,1.0,74.1,52.4,34,False
262,4/1/2022,3206,268,Trench coat,GB9RX,1.0,97.5,60.4,34,False
263,4/1/2022,4349,269,Cargo pants,GKJEP,1.0,35.4,23.6,50,False
264,4/1/2022,1643,270,T-shirt,UNJKW,1.0,21.1,14.7,29,False
265,4/1/2022,1643,270,Jeans,JZDXU,1.0,48.1,30.8,29,False
266,4/1/2022,5038,271,Shoes,81AIS,1.0,82.5,57.8,44,False
267,4/1/2022,651,272,Crop Top,9TF6B,1.0,40.6,34.1,45,False
268,4/1/2022,7343,273,T-shirt,85WDI,1.0,17.1,11.0,30,False
269,4/1/2022,6353,274,Shoes,2NYLG,1.0,63.5,38.3,31,False
270,4/1/2022,5367,276,Blazer,PO1N6,1.0,74.4,45.6,43,False
271,4/1/2022,8745,278,Crop Top,11H2S,1.0,190.0,146.9,54,False
272,4/1/2022,3494,279,T-shirt,TU0A5,1.0,35.4,23.0,39,False
273,4/1/2022,2071,280,Shoes,627TX,1.0,92.1,65.1,47,False
274,4/1/2022,2071,280,T-shirt,UNJKW,1.0,21.1,14.7,47,False
275,4/1/2022,2071,280,Shoes,9UYK8,1.0,110.0,69.0,47,False
276,4/1/2022,2071,280,Shoes,T4T9J,1.0,95.0,62.9,47,False
277,4/1/2022,5541,282,Sunglasses,0OZBT,1.0,94.2,73.6,33,False
278,4/1/2022,1635,285,Dress shirt,29DS1,2.0,186.7,73.9,52,False
279,4/1/2022,5175,288,T-shirt,EMJ1S,1.0,36.2,24.9,58,False
280,4/1/2022,1997,290,Skirt,1XG54,1.0,67.5,47.2,32,False
281,4/1/2022,1997,290,Jeans,15PXV,1.0,77.1,47.0,32,False
282,4/1/2022,7130,291,Hoodie,UN0SI,2.0,42.5,14.6,40,False
283,4/1/2022,4372,292,Skirt,CZUZX,1.0,63.5,44.6,45,False
284,4/1/2022,4372,292,Crop Top,EWQRX,1.0,90.6,73.0,45,False
285,4/1/2022,4372,292,Hoodie,DLFQW,1.0,41.9,27.5,45,False
286,4/1/2022,4604,293,Jeans,FV49E,1.0,70.2,46.4,42,False
287,4/1/2022,4604,293,Shoes,JJ9FT,1.0,57.9,38.8,42,False
288,4/1/2022,4604,293,Shoes,2NYLG,1.0,63.5,38.3,42,False
289,4/1/2022,4604,293,Cargo pants,VVOG7,1.0,63.5,44.1,42,False
290,4/1/2022,4604,293,Skirt,9STQJ,1.0,82.5,58.7,42,False
291,4/1/2022,4604,293,Hoodie,DUV2Y,1.0,78.1,50.5,42,False
292,4/1/2022,4604,293,Hoodie,KS95Q,1.0,80.0,51.5,42,False
293,4/1/2022,5770,294,Skirt,RUNZF,1.0,78.8,54.1,40,False
294,4/1/2022,1669,295,Blazer,YXM33,1.0,104.4,68.1,52,False
295,4/1/2022,1669,295,Blazer,V3239,1.0,78.0,50.6,52,False
296,4/1/2022,944,296,T-shirt,85WDI,1.0,17.1,11.0,36,False
297,4/1/2022,944,296,T-shirt,UNJKW,1.0,21.1,14.7,36,False
298,4/1/2022,1211,297,Skirt,ABFD7,1.0,48.4,37.8,25,False
299,4/1/2022,1211,297,T-shirt,UNJKW,1.0,21.1,14.7,25,False
300,4/1/2022,3481,298,T-shirt,I36F2,1.0,42.3,30.6,50,False
301,4/1/2022,5339,302,Shorts,VHZUD,3.0,81.4,22.8,45,False
302,4/1/2022,5339,302,T-shirt,X5TFY,1.0,45.0,28.3,45,False
303,4/1/2022,5339,302,Bomber jacket,4L6WG,1.0,34.6,23.2,45,False
304,4/1/2022,4047,303,Cargo pants,DMJ70,1.0,57.3,42.5,35,False
305,4/1/2022,6242,307,Trench coat,LI0IX,1.0,62.5,36.5,60,False
306,4/1/2022,6242,307,Dress shirt,SJ0ZD,1.0,12.4,10.6,60,False
307,4/1/2022,8844,308,T-shirt,TU0A5,1.0,35.4,23.0,49,False
308,4/1/2022,3802,309,Shorts,F7FQ5,1.0,24.3,19.2,28,False
309,4/1/2022,3802,309,Bomber jacket,QKVBK,2.0,122.3,42.9,28,False
310,4/1/2022,8319,310,Cargo pants,OV1P9,1.0,57.3,39.1,41,False
311,4/1/2022,8319,310,T-shirt,UNJKW,1.0,21.1,14.7,41,False
312,4/1/2022,4058,311,Hoodie,DLFQW,1.0,41.9,27.5,44,False
313,4/1/2022,4058,311,Blazer,0PW5H,1.0,111.9,66.5,44,False
314,4/1/2022,167,313,Blazer,LPLTZ,2.0,78.0,24.3,57,False
315,4/1/2022,167,313,Dresses,GQ4V9,1.0,171.0,117.5,57,False
316,4/1/2022,3989,314,T-shirt,ZDSYK,1.0,17.1,12.3,35,False
317,4/1/2022,1264,319,Cargo pants,YR1OH,1.0,113.7,84.0,39,False
318,4/1/2022,6742,321,Skirt,ABFD7,1.0,48.4,37.8,52,False
319,4/1/2022,6742,321,Hoodie,F90L2,1.0,23.1,16.9,52,False
320,4/1/2022,2246,322,Cargo pants,0JD0P,1.0,83.8,57.2,62,False
321,4/1/2022,6184,323,T-shirt,3220G,1.0,14.2,9.9,57,False
322,4/1/2022,6184,323,Jeans,4D1NN,1.0,66.2,42.4,57,False
323,4/1/2022,6075,324,T-shirt,UNJKW,1.0,21.1,14.7,42,False
324,4/1/2022,289,325,Crop Top,ISNFA,1.0,74.4,56.2,28,False
325,4/1/2022,4994,326,Crop Top,53F9W,1.0,39.3,33.4,25,False
326,4/1/2022,6205,327,T-shirt,COWU2,1.0,44.3,29.8,31,False
327,4/1/2022,8022,328,Crop Top,F2HBX,1.0,83.7,71.2,31,False
328,4/1/2022,2601,329,Jeans,AE8NP,1.0,66.8,42.8,38,False
329,4/1/2022,2601,329,Skirt,RKK2C,1.0,71.5,48.3,38,False
330,4/1/2022,2547,332,Crop Top,MM3E0,1.0,126.9,97.6,51,False
331,4/1/2022,2770,333,Skirt,6OUVC,1.0,105.0,74.2,43,False
332,4/1/2022,5568,334,Hoodie,4R4F9,1.0,57.3,39.2,32,False
333,4/1/2022,2092,335,Jeans,TGWSW,1.0,53.8,32.9,32,False
